Produkto pavadinimas,Kaina,Šviesos srautas
"Šviestuvas vidaus SLV ONE TRIPLE LED, 64-65W, 4200lm, IP20 (įv.spalvos)","1 293,41 € VNT.",4200 lm
"Šviestuvas lauko SLV PHOTONIA, pastatomas, E27, 60W, IP55, 90cm","340,51 € VNT.",Nerasta
"Šviestuvas Northcliffe LEVANTO PLN LED, 36W, 3650lm, IP40","26,62 € VNT.",3650 lm
"Šviestuvas Northcliffe CETUS P LED, sieninis-lubinis, 12W, 1080lm, IP65","16,34 € VNT.",1080 lm
"Šviestuvas vidaus SLV PANTILO CONVEX, Ø29-40cm, E27, 40W, IP20","283,54 € VNT.",Nerasta
"Šviestuvas Northcliffe DISC LED, 100-200W, 14000-28000lm, IP65","94,38 € VNT.",14000 lm
"Šviestuvas lauko SLV ROTOBALL FLOOR, E27, 24W, IP44, 50cm","279,66 € VNT.",Nerasta
"Toršeras lauko SLV ADEGAN MANILA SL, nešiojamas, E27, 15W, IP44, 175.5cm","469,98 € VNT.",Nerasta
"Šviestuvas Northcliffe LIBRA LED, evakuacinis, sieninis, 1W, 6500K, IP65","27,83 € VNT.",Nerasta
"Šviestuvas SLV VILUA UP/DOWN LED, fasadinis, 16W, 784lm, IP54","231,75 € VNT.",784 lm
"Prožektorius Northcliffe BETA LED, laukui, 30-200W, 2700-18000lm, IP65","30,25 € VNT.",2700 lm
"Toršeras lauko SLV ENOLA C POLE LED, 12W, 800lm, IP55, 51cm","388,41 € VNT.",800 lm
"Troselių rinkinys Northcliffe MTG KIT SUSI, LED panelei pakabinti, 1.5m, 1vnt.","7,87 € VNT.",Nerasta
"Šviestuvas lauko SLV RUSTY SLOT, pastatomas, 9W, 30lm, IP55, 80cm","590,38 € VNT.",30 lm
"Šviestuvas vidaus SLV FORCHINI PD, Ø50-70cm, E27, 40W, IP20","260,23 € VNT.",Nerasta
"Šviestuvas Northcliffe GEMINI LED, evakuacinis, sieninis, 3W, 6500K, IP65","27,23 € VNT.",Nerasta
"Šviestuvas lauko SLV CONE, pastatomas, E27, 100W, IP54, 24cm","115,23 € VNT.",Nerasta
"Šviestuvas vidaus SLV ANELA LED, pritemdomas, 11W, 620lm, 3000K, IP20","244,70 € VNT.",620 lm
"Šviestuvas Northcliffe CUJAM LED, virštinkinis, 36-46W, 3600-4800lm, IP65","17,55 € VNT.",3600 lm
"Šviestuvas SLV ABRIDOR SENSOR LED, fasadinis, su jutikliu, 14W, 750lm, IP54","231,75 € VNT.",750 lm
"Šviestuvas Northcliffe NASHI S LED, dvipusis, lubinis, 1W, 6500K, IP44","31,94 € VNT.",Nerasta
"Šviestuvas lauko SLV CUBIX 1, nešiojamas, GU10, 25W, IP44, 12.5cm","142,42 € VNT.",Nerasta
"Šviestuvas Northcliffe PUPIS P LED, sieninis-lubinis, 5W, 500lm, IP65","18,15 € VNT.",500 lm
"Šviestuvas Northcliffe INDUS P E27, plastikinis, vidus-fasadas, IP65","20,06 € VNT.",Nerasta
"Šviestuvas SLV MANA OUT LED, fasadinis, 12W, 650lm, IP65","292,60 € VNT.",650 lm
"Šviestuvas Ledvance DL SLIM LED, 12-18W, 1020-1530lm, 3000-4000K, IP20","20,55 € VNT.",1020 lm
"Šviestuvas vidaus SLV PARA CONE, Ø20-30cm, E27, 60W, IP20 (įv.spalvos)","187,73 € VNT.",Nerasta
"Šviestuvas SLV DOWNUNDER OUT RND LED, fasadinis, 4.5W, 140lm, IP65","151,48 € VNT.",140 lm
"Šviestuvas Northcliffe PAVO P LED, 12-22W, 1080-2200lm, IP44","26,62 € VNT.",1080 lm
"Šviestuvas Northcliffe KAPPA LED, akcentiniam fasado apšvietimui, IP65","21,71 € VNT.",Nerasta
"Šviestuvas Northcliffe APUS LED GRO, lauko, akcentinis, IP65","20,02 € VNT.",Nerasta
"Šviestuvas SLV ABRIDOR LED, lauko, 14W, 750lm, CCT switch, IP55","205,86 € VNT.",750 lm
"Šviestuvas SLV ESKINA SENSOR LED, su jutikliu, 14.5W, 1000lm, IP54","313,32 € VNT.",1000 lm
"Šviestuvas SLV ESKINA LED, lauko, CCT switch, 14.5W, 1000lm, IP65","286,13 € VNT.",1000 lm
"Šviestuvas SLV DOWNUNDER OUT SQ LED, fasadinis, 4.5W, 150lm, IP65","151,48 € VNT.",150 lm
"Šviestuvas SLV FLATT LED, lauko, CCT switch, 14W, 460lm, IP65","195,50 € VNT.",460 lm
"Šviestuvas SLV FLATT SENSOR LED, lauko, su jutikliu, 16W, 600lm, IP54","238,22 € VNT.",600 lm
"Šviestuvas SLV VILUA LED, fasadinis, 8.3-17W, 405-810lm, IP54 (įv.dydžiai)","176,08 € VNT.",405 lm
"Toršeras lauko SLV QUAD POLE LED, 18W, 1550lm, 3000K, IP65, 90cm","479,04 € VNT.",1550 lm
"Toršeras lauko SLV ESKINA POLE LED, 14.5W, 1000lm, CCT switch, IP65, 80cm","353,45 € VNT.",1000 lm
"Šviestuvas lauko SLV ABRIDOR POLE, pastatomas, 14W, 750lm, IP55, 100cm","322,38 € VNT.",750 lm
"Šviestuvas lauko SLV FLATT POLE, pastatomas, 9.7W, 400lm, IP65, 65cm","278,36 € VNT.",400 lm
"Toršeras lauko SLV THEO PATHLIGHT, dvigubas, GU10, 7W, IP44, 72.5cm","288,72 € VNT.",Nerasta
"Toršeras lauko SLV HELIA SINGLE, viengubas, 8W, 450lm, IP55, 50cm","280,95 € VNT.",450 lm
"Toršeras lauko SLV HELIA DOUBLE, dvigubas, 16W, 900lm, IP55, 75cm","438,90 € VNT.",900 lm
"Šviestuvas lauko SLV MOLAT POLE, pastatomas, E27, 60W, IP44, 100cm","216,21 € VNT.",Nerasta
"Šviestuvas lauko SLV F-POL, pastatomas, E27, 20W, IP54, 86cm","220,10 € VNT.",Nerasta
"Toršeras lauko SLV SITRA SL 360, dvigubas, GX53, 9W, IP44, 72cm","187,73 € VNT.",Nerasta
